department,name,description,credits,prerequisites,corequisites,,,,,,,,,,,,
EDCP,EDCP 306 Digital Media in Arts Education: Advanced,,Credits: 3,Pre-reqs:     EDCP 305.,null,,,,,,,,,,,,
ARCL,ARCL 324 Archaeological Foundations of South America,"The archaeology of South America with an emphasis on the emergence of economic, social, political, and religious organization, and a primary focus on the Andean region.  Seminar format with lectures discussing recent research and current discoveries.",Credits: 3,Pre-reqs:     ARCL 232.,null,,,,,,,,,,,,
INDS,INDS 649 Doctoral Dissertation,,Credits: 0,null,null,,,,,,,,,,,,
ARTH,ARTH 539A Studies in 19th-Century Art - 19TH CENT ART,,Credits: 3,null,null,,,,,,,,,,,,
EDCP,EDCP 568 Curricula in their Historical Context,,Credits: 3,null,null,,,,,,,,,,,,
CIVL,CIVL 565 Physical-Chemical Treatment Processes,Development of the principles of selected physical and chemical treatment unit operations. Applications in both water and wastewater treatment.,Credits: 3,"If the course is full, please fill out the online course registration form available at the below web link http://www.civil.ubc.ca/webform/course-request-registration-form and submit it electronically.",null,,,,,,,,,,,,
EDUC,EDUC 495D Practicum (Elementary) for Previously Certified Teachers - TEACH PRACT ELEM,Pass/Fail.,Credits: 10,Pre-reqs:      (Completion of recent elementary teaching methods courses in the subjects to be taught.),null,,,,,,,,,,,,
EOSC,EOSC 526 Mechanics of Natural Deformation,Lectures and laboratory problems.,Credits: 3,null,null,,,,,,,,,,,,
ECON,ECON 516 Special Topics in Macroeconomics,,Credits: 3,Course description available at http://departments.arts.ubc/2015/courses.pdf,null,,,,,,,,,,,,
MUSC,MUSC 440 Piano Pedagogy II: Applications,Teaching musical concepts and keyboard skills, observation of group and private lessons, supervised practicum.,Credits: 3,Pre-reqs:     MUSC 340.,null,,,,,,,,,,
UDES,UDES 502 Design Studio: Sustainable Neighbourhood Design,,Credits: 9,null,null,,,,,,,,,,,,
RELG,RELG 308 Midrash and the Rabbinic Imagination,,Credits: 3,null,null,,,,,,,,,,,,
ENGL,ENGL 224 World Literature in English,English literature produced outside Britain and North America.,Credits: 3,"Pre-reqs:     Either (a) ARTS 001 or (b) two of ENGL 100, ENGL 110, ENGL 111, ENGL 112, ENGL 120, ENGL 121 or (c) ASTU 100 or (d) ASTU 150 and one of ENGL 110, ENGL 111, ENGL 120, ENGL 121;  or (e) WRDS 150 and one of ENGL 110, ENGL 111, ENGL 120, ENGL 121. (Or 6 credits of first-year English.)",null,,,,,,,,,,,,
